CID,BDATE,GEN
NASAW00015422,01-06-85,Female
NASAW00015423,10-23-84,Male
NASAW00015424,12-09-84,Female
NASAW00015425,09-22-55,Female
NASAW00015426,08-16-49,Female
NASAW00015427,05-17-85,Female
NASAW00015428,10-28-84,Male
NASAW00015429,10-16-84,Male
NASAW00015430,12-07-83,Male
NASAW00015431,09-14-83,Male
NASAW00015432,02-15-84,Male
NASAW00015433,02-15-84,Male
NASAW00015434,07-19-50,Male
NASAW00015435,04-10-52,Male
NASAW00015436,03-19-52,Female
NASAW00015437,12-19-52,Female
NASAW00015438,09-07-52,Male
NASAW00015439,01-11-59,Male
NASAW00015440,09-20-79,Male
NASAW00015441,08-17-71,Female
NASAW00015442,12-25-67,Male
NASAW00015443,09-23-67,Male
NASAW00015444,08-09-67,Male
NASAW00015445,06-11-68,Male
NASAW00015446,05-19-72,Male
NASAW00015447,11-08-66,Female
NASAW00015448,04-24-67,Male
NASAW00015449,08-14-40,Male
NASAW00015450,12-08-41,Male
NASAW00015451,11-16-67,Female
NASAW00015452,02-16-64,Female
NASAW00015453,08-07-69,Female
NASAW00015454,03-02-61,Male
NASAW00015455,10-07-45,Female
NASAW00015456,04-13-46,Male
NASAW00015457,08-28-46,Female
NASAW00015458,06-23-53,Female
NASAW00015459,10-11-47,Female
NASAW00015460,02-09-53,Female
NASAW00015461,11-10-47,Male
NASAW00015462,02-23-49,Male
NASAW00015463,05-18-49,Male
NASAW00015464,10-02-85,Female
NASAW00015465,03-03-86,Female
NASAW00015466,07-08-75,Male
NASAW00015467,01-30-76,Male
NASAW00015468,05-09-76,Female
NASAW00015469,10-24-81,Male
NASAW00015470,02-17-81,Female
NASAW00015471,09-05-74,Female
NASAW00015472,10-14-80,Female
NASAW00015473,10-13-74,Female
NASAW00015474,10-30-74,Male
NASAW00015475,10-14-80,Female
NASAW00015476,05-01-75,Female
NASAW00015477,02-08-75,Male
NASAW00015478,02-15-77,Female
NASAW00015479,02-17-77,Female
NASAW00015480,01-19-77,Female
NASAW00015481,08-21-82,Female
NASAW00015482,08-07-76,Female
NASAW00015483,11-04-76,Female
NASAW00015484,12-17-76,Male
NASAW00015485,05-19-75,Female
NASAW00015486,03-23-75,Male
NASAW00015487,03-09-75,Male
NASAW00015488,09-24-74,Male
NASAW00015489,01-23-74,Female
NASAW00015490,08-02-73,Female
NASAW00015491,04-20-79,Female
NASAW00015492,04-14-85,Female
NASAW00015493,09-16-79,Male
NASAW00015494,05-14-74,Female
NASAW00015495,11-14-72,Male
NASAW00015496,03-07-73,Female
NASAW00015497,09-01-72,Female
NASAW00015498,08-08-75,Female
NASAW00015499,06-22-76,Male
NASAW00015500,07-25-75,Male
NASAW00015501,12-19-75,Male
NASAW00015502,10-15-78,Male
NASAW00015503,08-22-78,Female
NASAW00015504,09-29-72,Male
NASAW00015505,08-06-72,Female
NASAW00015506,09-20-82,Male
NASAW00015507,03-27-72,Female
NASAW00015508,02-05-72,Female
NASAW00015509,08-23-71,Male
NASAW00015510,10-20-77,Male
NASAW00015511,08-11-74,Female
NASAW00015512,01-29-75,Male
NASAW00015513,04-19-75,Female
NASAW00015514,11-16-74,Female
NASAW00015515,10-08-74,Male
NASAW00015516,10-14-80,Male
NASAW00015517,01-19-80,Male
NASAW00015518,03-12-75,Male
NASAW00015519,05-10-27,Female
NASAW00015520,12-17-70,Female
NASAW00015521,05-21-76,Female
NASAW00015522,09-03-76,Male
NASAW00015523,08-07-69,Male
NASAW00015524,09-12-75,Male
NASAW00015525,02-08-75,Female
NASAW00015526,12-17-69,Female
NASAW00015527,10-06-69,Female
NASAW00015528,10-01-79,Male
NASAW00015529,01-01-69,Male
NASAW00015530,09-30-68,Female
NASAW00015531,12-11-68,Male
NASAW00015532,08-03-68,Male
NASAW00015533,09-06-79,Female
NASAW00015534,03-21-69,Male
NASAW00015535,04-30-69,Male
NASAW00015536,08-09-74,Female
NASAW00015537,07-22-68,Female
NASAW00015538,02-24-69,Male
NASAW00015539,07-23-67,Male
NASAW00015540,04-04-73,Male
NASAW00015541,10-05-67,Female
NASAW00015542,04-18-73,Female
NASAW00015543,09-23-67,Female
NASAW00015544,06-12-68,Male
NASAW00015545,02-07-72,Female
NASAW00015546,11-18-66,Male
NASAW00015547,04-05-67,Female
NASAW00015548,03-12-66,Female
NASAW00015549,12-03-72,Male
NASAW00015550,05-17-78,Male
NASAW00015551,01-02-73,Female
NASAW00015552,12-28-72,Male
NASAW00015553,12-08-72,Male
NASAW00015554,03-01-73,Female
NASAW00015555,04-22-66,Female
NASAW00015556,11-08-76,Male
NASAW00015557,02-11-66,Male
NASAW00015558,09-29-65,Female
NASAW00015559,05-22-70,Male
NASAW00015560,09-17-64,Female
NASAW00015561,01-24-70,Male
NASAW00015562,04-15-76,Female
NASAW00015563,07-10-70,Male
NASAW00015564,02-21-70,Male
NASAW00015565,08-06-64,Male
NASAW00015566,09-21-70,Male
NASAW00015567,12-21-64,Female
NASAW00015568,07-11-63,Male
NASAW00015569,08-22-74,Female
NASAW00015570,02-05-75,Female
NASAW00015571,03-06-75,Male
NASAW00015572,09-16-63,Female
NASAW00015573,08-21-69,Male
NASAW00015574,01-17-69,Male
NASAW00015575,01-06-85,Male
NASAW00015576,03-18-76,Female
NASAW00015577,08-25-75,Female
NASAW00015578,08-16-81,Female
NASAW00015579,07-04-73,Female
NASAW00015580,02-20-79,Male
NASAW00015581,10-25-73,Female
NASAW00015582,01-18-74,Male
NASAW00015583,03-28-74,Female
NASAW00015584,10-14-72,Female
NASAW00015585,03-05-78,Male
NASAW00015586,02-24-75,Male
NASAW00015587,10-10-80,Female
NASAW00015588,07-03-80,Female
NASAW00015589,10-13-74,Male
NASAW00015590,09-24-74,Male
NASAW00015591,03-22-75,Male
NASAW00015592,10-01-83,Female
NASAW00015593,03-18-73,Female
NASAW00015594,03-05-78,Female
NASAW00015595,08-05-71,Male
NASAW00015596,07-02-71,Male
NASAW00015597,08-06-71,Male
NASAW00015598,04-20-71,Female
NASAW00015599,11-18-70,Male
NASAW00015600,05-02-74,Male
NASAW00015601,08-09-79,Female
NASAW00015602,01-14-79,Male
NASAW00015603,09-02-75,Male
NASAW00015604,06-13-70,Male
NASAW00015605,02-21-70,Male
NASAW00015606,06-10-70,Male
NASAW00015607,09-19-75,Male
NASAW00015608,05-10-84,Female
NASAW00015609,08-11-85,Male
NASAW00015610,04-11-86,Female
NASAW00015611,02-08-84,Female
NASAW00015612,10-05-83,Male
NASAW00015613,03-14-84,Female
NASAW00015614,05-13-80,Female
NASAW00015615,08-12-84,Female
NASAW00015616,05-14-84,Female
NASAW00015617,08-02-84,Female
NASAW00015618,08-26-78,Male
NASAW00015619,09-23-78,Male
NASAW00015620,11-16-78,Female
NASAW00015621,03-26-79,Female
NASAW00015622,04-14-78,Male
NASAW00015623,04-10-78,Female
NASAW00015624,08-08-83,Male
NASAW00015625,04-16-78,Male
NASAW00015626,07-20-83,Male
NASAW00015627,06-23-78,Male
NASAW00015628,04-10-22,Female
NASAW00015629,03-31-77,Female
NASAW00015630,10-30-76,Female
NASAW00015631,05-11-77,Male
NASAW00015632,07-08-76,Female
NASAW00015633,02-08-77,Female
NASAW00015634,05-23-82,Male
NASAW00015635,02-20-77,Female
NASAW00015636,11-22-75,Male
NASAW00015637,01-19-77,Male
NASAW00015638,01-23-47,Female
NASAW00015639,08-30-85,Female
NASAW00015640,10-14-85,Male
NASAW00015641,11-01-83,Male
NASAW00015642,02-21-83,Female
NASAW00015643,03-20-83,Male
NASAW00015644,02-16-85,Female
NASAW00015645,09-08-84,Male
NASAW00015646,05-02-84,Female
NASAW00015647,05-19-84,Female
NASAW00015648,03-03-84,Male
NASAW00015649,04-07-54,Female
NASAW00015650,01-31-72,Male
NASAW00015651,07-09-72,Female
NASAW00015652,11-22-66,Female
NASAW00015653,12-01-77,Male
NASAW00015654,09-09-65,Male
NASAW00015655,10-30-71,Female
NASAW00015656,12-13-65,Male
NASAW00015657,12-18-65,Male
NASAW00015658,02-12-65,Female
NASAW00015659,08-13-64,Female
NASAW00015660,03-01-65,Female
NASAW00015661,02-16-65,Male
NASAW00015662,11-21-65,Female
NASAW00015663,01-05-65,Female
NASAW00015664,04-22-70,Female
NASAW00015665,01-02-65,Female
NASAW00015666,10-18-81,Female
NASAW00015667,03-16-76,Male
NASAW00015668,02-23-81,Male
NASAW00015669,04-20-81,Female
NASAW00015670,01-31-75,Male
NASAW00015671,11-24-74,Male
NASAW00015672,07-19-74,Male
NASAW00015673,06-04-80,Male
NASAW00015674,01-05-75,Male
NASAW00015675,04-15-75,Male
NASAW00015676,10-05-74,Male
NASAW00015677,02-08-75,Female
NASAW00015678,06-04-80,Female
NASAW00015679,03-10-58,Male
NASAW00015680,09-05-56,Female
NASAW00015681,02-07-60,Female
NASAW00015682,11-18-49,Female
NASAW00015683,12-20-49,Female
NASAW00015684,07-07-55,Male
NASAW00015685,12-07-49,Female
NASAW00015686,12-31-49,Male
NASAW00015687,12-16-50,Male
NASAW00015688,11-04-50,Male
NASAW00015689,07-06-50,Female
NASAW00015690,12-10-51,Male
NASAW00015691,12-15-59,Male
NASAW00015692,10-12-59,Male
NASAW00015693,01-16-60,Female
NASAW00015694,01-18-59,Female
NASAW00015695,12-16-59,Male
NASAW00015696,12-03-58,Male
NASAW00015697,01-03-59,Female
NASAW00015698,08-31-58,Female
NASAW00015699,03-11-59,Male
NASAW00015700,05-19-58,Male
NASAW00015701,03-27-58,Female
NASAW00015702,02-15-58,Female
NASAW00015703,05-02-62,Female
NASAW00015704,09-10-56,Male
NASAW00015705,09-19-55,Male
NASAW00015706,05-25-55,Female
NASAW00015707,09-11-60,Female
NASAW00015708,07-17-60,Female
NASAW00015709,08-31-59,Female
NASAW00015710,07-22-53,Female
NASAW00015711,12-30-53,Male
NASAW00015712,06-04-54,Female
NASAW00015713,12-07-53,Female
NASAW00015714,03-16-53,Female
NASAW00015715,12-17-80,Female
NASAW00015716,12-17-80,Male
NASAW00015717,11-23-81,Female
NASAW00015718,10-13-81,Female
NASAW00015719,01-10-82,Female
NASAW00015720,01-23-80,Female
NASAW00015721,08-11-85,Female
NASAW00015722,05-25-80,Female
NASAW00015723,03-14-85,Female
NASAW00015724,10-30-79,Male
NASAW00015725,01-15-79,Male
NASAW00015726,08-27-78,Female
NASAW00015727,10-31-77,Female
NASAW00015728,01-31-79,Male
NASAW00015729,09-21-83,Female
NASAW00015730,08-18-77,Male
NASAW00015731,09-16-76,Male
NASAW00015732,05-25-83,Female
NASAW00015733,09-22-77,Female
NASAW00015734,01-08-76,Female
NASAW00015735,10-30-75,Female
NASAW00015736,12-11-46,Female
NASAW00015737,10-02-46,Male
NASAW00015738,01-20-47,Female
NASAW00015739,06-14-48,Male
NASAW00015740,10-09-47,Male
NASAW00015741,04-09-48,Female
NASAW00015742,05-06-48,Female
NASAW00015743,02-14-53,Female
NASAW00015744,09-19-47,Female
NASAW00015745,02-12-48,Male
NASAW00015746,05-31-49,Female
NASAW00015747,08-24-49,Male
NASAW00015748,12-07-49,Male
NASAW00015749,04-24-50,Female
NASAW00015750,10-16-84,Female
NASAW00015751,02-21-66,Female
NASAW00015752,03-31-61,Male
NASAW00015753,06-21-62,Female
NASAW00015754,12-21-61,Female
NASAW00015755,01-22-67,Male
NASAW00015756,01-01-74,Female
NASAW00015757,01-07-63,Male
NASAW00015758,05-22-69,Male
NASAW00015759,05-07-79,Female
NASAW00015760,11-01-79,Male
NASAW00015761,04-16-80,Male
NASAW00015762,11-05-79,Male
NASAW00015763,01-22-80,Male
NASAW00015764,12-12-64,Male
NASAW00015765,04-16-65,Male
NASAW00015766,02-12-65,Female
NASAW00015767,05-20-70,Male
NASAW00015768,05-25-72,Female
NASAW00015769,11-06-71,Female
NASAW00015770,04-06-83,Male
NASAW00015771,07-23-63,Female
NASAW00015772,03-09-68,Male
NASAW00015773,04-02-63,Male
NASAW00015774,02-24-68,Female
NASAW00015775,12-13-79,Female
NASAW00015776,09-06-79,Male
NASAW00015777,01-18-68,Female
NASAW00015778,11-07-62,Male
NASAW00015779,08-14-73,Male
NASAW00015780,05-10-68,Female
NASAW00015781,09-30-62,Male
NASAW00015782,11-19-68,Female
NASAW00015783,01-07-73,Male
NASAW00015784,03-03-73,Female
NASAW00015785,10-24-67,Male
NASAW00015786,05-02-68,Male
NASAW00015787,11-18-66,Female
NASAW00015788,09-15-71,Female
NASAW00015789,02-12-72,Female
NASAW00015790,12-13-65,Male
NASAW00015791,03-20-66,Female
NASAW00015792,08-05-76,Male
NASAW00015793,04-08-76,Female
NASAW00015794,12-15-81,Female
NASAW00015795,07-16-70,Female
NASAW00015796,11-08-70,Male
NASAW00015797,09-25-70,Male
NASAW00015798,03-19-70,Female
NASAW00015799,07-11-64,Female
NASAW00015800,12-07-70,Male
NASAW00015801,05-12-69,Female
NASAW00015802,10-18-79,Female
NASAW00015803,04-16-68,Male
NASAW00015804,02-17-68,Female
NASAW00015805,08-30-67,Female
NASAW00015806,01-02-73,Male
NASAW00015807,10-29-72,Male
NASAW00015808,07-19-66,Female
NASAW00015809,03-15-66,Male
NASAW00015810,09-03-71,Female
NASAW00015811,05-02-71,Male
NASAW00015812,10-07-64,Male
NASAW00015813,01-30-82,Male
NASAW00015814,10-14-81,Female
NASAW00015815,07-24-80,Female
NASAW00015816,11-17-81,Female
NASAW00015817,01-05-82,Female
NASAW00015818,01-16-82,Male
NASAW00015819,03-15-86,Female
NASAW00015820,04-01-86,Male
NASAW00015821,06-25-86,Male
NASAW00015822,04-17-44,Male
NASAW00015823,03-23-44,Female
NASAW00015824,11-30-82,Female
NASAW00015825,12-02-81,Female
NASAW00015826,07-08-84,Female
NASAW00015827,11-03-84,Female
NASAW00015828,05-20-45,Female
NASAW00015829,11-13-44,Male
NASAW00015830,08-13-45,Female
NASAW00015831,08-13-45,Male
NASAW00015832,10-02-46,Male
NASAW00015833,09-20-48,Female
NASAW00015834,09-22-81,Female
NASAW00015835,10-25-81,Male
NASAW00015836,10-13-81,Male
NASAW00015837,04-19-81,Female
NASAW00015838,02-13-85,Female
NASAW00015839,11-18-79,Male
NASAW00015840,08-25-77,Female
NASAW00015841,05-11-83,Male
NASAW00015842,01-09-83,Female
NASAW00015843,05-02-74,Male
NASAW00015844,06-24-74,Female
NASAW00015845,06-17-74,Female
NASAW00015846,09-06-79,Male
NASAW00015847,05-10-79,Male
NASAW00015848,08-24-79,Female
NASAW00015849,08-29-72,Female
NASAW00015850,10-04-78,Female
NASAW00015851,12-18-72,Female
NASAW00015852,08-22-78,Male
NASAW00015853,08-21-72,Female
NASAW00015854,02-24-73,Female
NASAW00015855,10-14-68,Male
NASAW00015856,08-02-73,Male
NASAW00015857,12-03-64,Female
NASAW00015858,12-12-64,Male
NASAW00015859,09-01-64,Female
NASAW00015860,04-19-78,Male
NASAW00015861,11-23-77,Male
NASAW00015862,06-06-78,Female
NASAW00015863,01-31-79,Male
NASAW00015864,10-16-84,Female
NASAW00015865,10-11-76,Female
NASAW00015866,12-30-81,Female
NASAW00015867,08-07-76,Female
NASAW00015868,12-10-76,Male
NASAW00015869,06-20-77,Female
NASAW00015870,11-29-76,Female
NASAW00015871,06-22-77,Male
NASAW00015872,09-29-83,Female
NASAW00015873,10-16-83,Female
NASAW00015874,12-10-49,Male
NASAW00015875,08-16-49,Male
NASAW00015876,04-17-50,Male
NASAW00015877,10-07-56,Male
NASAW00015878,10-21-50,Male
NASAW00015879,11-18-50,Male
NASAW00015880,05-13-51,Male
NASAW00015881,02-17-51,Female
NASAW00015882,05-01-51,Male
NASAW00015883,05-13-51,Male
NASAW00015884,01-04-51,Male
NASAW00015885,11-15-51,Male
NASAW00015886,10-16-51,Male
NASAW00015887,02-09-52,Female
NASAW00015888,11-02-51,Female
NASAW00015889,05-17-52,Male
NASAW00015890,08-26-52,Male
NASAW00015891,12-08-52,Male
NASAW00015892,07-05-64,Female
NASAW00015893,05-15-54,Female
NASAW00015894,05-06-70,Female
NASAW00015895,05-06-70,Female
NASAW00015896,12-15-53,Male
NASAW00015897,09-14-53,Female
NASAW00015898,10-29-54,Male
NASAW00015899,12-29-54,Male
NASAW00015900,03-24-61,Male
NASAW00015901,08-27-55,Female
NASAW00015902,10-23-55,Male
NASAW00015903,01-06-56,Female
NASAW00015904,07-25-55,Female
NASAW00015905,10-15-56,Female
NASAW00015906,09-02-56,Female
NASAW00015907,10-15-56,Male
NASAW00015908,09-12-73,Male
NASAW00015909,03-06-57,Female
NASAW00015910,12-05-56,Male
NASAW00015911,04-23-63,Female
NASAW00015912,09-04-57,Female
NASAW00015913,12-14-57,Male
NASAW00015914,08-19-63,Male
NASAW00015915,01-08-58,Male
NASAW00015916,01-11-58,Male
NASAW00015917,03-20-58,Female
NASAW00015918,08-02-57,Male
NASAW00015919,11-04-63,Female
NASAW00015920,02-11-63,Male
NASAW00015921,11-22-68,Male
NASAW00015922,10-12-68,Male
NASAW00015923,10-04-67,Male
NASAW00015924,12-18-61,Male
NASAW00015925,12-25-61,Male
NASAW00015926,08-11-61,Female
NASAW00015927,06-03-62,Male
NASAW00015928,11-05-61,Female
NASAW00015929,02-07-62,Female
NASAW00015930,09-29-60,Female
NASAW00015931,07-07-60,Male
NASAW00015932,03-10-61,Female
NASAW00015933,01-30-66,Male
NASAW00015934,09-25-61,Female
NASAW00015935,10-24-44,Female
NASAW00015936,01-12-39,Female
NASAW00015937,11-09-70,Female
NASAW00015938,07-05-76,Male
NASAW00015939,08-11-70,Female
NASAW00015940,05-27-71,Male
NASAW00015941,08-26-70,Female
NASAW00015942,08-06-75,Male
NASAW00015943,07-17-69,Male
NASAW00015944,11-09-69,Male
NASAW00015945,06-21-75,Female
NASAW00015946,01-17-70,Male
NASAW00015947,04-11-70,Female
NASAW00015948,05-20-70,Female
NASAW00015949,09-07-75,Female
NASAW00015950,07-14-61,Female
NASAW00015951,04-12-62,Female
NASAW00015952,12-18-61,Male
NASAW00015953,10-09-39,Male
NASAW00015954,02-20-80,Male
NASAW00015955,11-13-74,Male
NASAW00015956,05-13-74,Male
NASAW00015957,05-14-69,Male
NASAW00015958,10-04-67,Female
NASAW00015959,08-30-67,Male
NASAW00015960,04-06-68,Female
NASAW00015961,10-17-78,Female
NASAW00015962,01-08-72,Male
NASAW00015963,01-30-78,Female
NASAW00015964,09-29-72,Male
NASAW00015965,12-16-66,Female
NASAW00015966,02-11-61,Female
NASAW00015967,12-13-60,Male
NASAW00015968,04-17-66,Male
NASAW00015969,05-24-77,Male
NASAW00015970,09-02-65,Male
NASAW00015971,02-22-41,Male
NASAW00015972,03-31-41,Female
NASAW00015973,05-23-42,Male
NASAW00015974,12-10-65,Male
NASAW00015975,09-21-71,Female
NASAW00015976,11-21-65,Male
NASAW00015977,09-12-65,Female
NASAW00015978,05-18-66,Male
NASAW00015979,12-12-65,Female
NASAW00015980,11-19-65,Female
NASAW00015981,09-11-65,Male
NASAW00015982,11-19-65,Male
NASAW00015983,03-15-66,Female
NASAW00015984,12-20-65,Male
NASAW00015985,12-16-65,Male
NASAW00015986,03-10-60,Male
NASAW00015987,03-21-71,Female
NASAW00015988,11-09-59,Male
NASAW00015989,11-15-65,Female
NASAW00015990,05-21-64,Male
NASAW00015991,07-19-58,Male
NASAW00015992,10-20-58,Female
NASAW00015993,11-19-58,Male
NASAW00015994,05-01-58,Female
NASAW00015995,11-23-57,Female
NASAW00015996,02-23-63,Female
NASAW00015997,09-07-48,Female
NASAW00015998,11-06-42,Female
NASAW00015999,01-20-43,Female
NASAW00016000,03-27-43,Female
NASAW00016001,04-24-43,Male
NASAW00016002,08-10-42,Female
NASAW00016003,04-26-43,Female
NASAW00016004,05-18-44,Male
NASAW00016005,04-05-44,Male
NASAW00016006,01-11-44,Female
NASAW00016007,03-30-45,Female
NASAW00016008,01-12-45,Female
NASAW00016009,03-14-45,Male
NASAW00016010,08-13-45,Female
NASAW00016011,03-06-46,Female
NASAW00016012,01-29-74,Female
NASAW00016013,01-18-74,Male
NASAW00016014,03-05-79,Male
NASAW00016015,08-02-84,Female
NASAW00016016,02-09-50,Male
NASAW00016017,11-08-84,Male
NASAW00016018,10-29-84,Female
NASAW00016019,08-01-84,Female
NASAW00016020,02-23-84,Male
NASAW00016021,04-24-84,Female
NASAW00016022,01-17-84,Male
NASAW00016023,01-13-53,Male
NASAW00016024,02-14-84,Male
NASAW00016025,09-04-50,Male
NASAW00016026,01-07-52,Male
NASAW00016027,08-11-57,Female
NASAW00016028,07-28-51,Male
NASAW00016029,05-07-52,Female
NASAW00016030,11-17-52,Male
NASAW00016031,04-08-53,Male
NASAW00016032,01-11-59,Male
NASAW00016033,04-13-77,Female
NASAW00016034,06-09-68,Female
NASAW00016035,12-12-78,Male
NASAW00016036,06-02-67,Female
NASAW00016037,11-05-66,Female
NASAW00016038,01-02-78,Male
NASAW00016039,11-03-66,Male
NASAW00016040,04-02-79,Male
NASAW00016041,11-05-66,Male
NASAW00016042,01-18-42,Male
NASAW00016043,03-05-80,Male
NASAW00016044,03-08-64,Female
NASAW00016045,06-30-69,Female
NASAW00016046,08-16-69,Female
NASAW00016047,07-05-68,Female
NASAW00016048,05-04-79,Female
NASAW00016049,05-08-68,Female
NASAW00016050,09-08-62,Male
NASAW00016051,03-14-73,Male
NASAW00016052,05-06-62,Male
NASAW00016053,06-15-67,Male
NASAW00016054,12-17-61,Male
NASAW00016055,06-17-61,Male
NASAW00016056,09-17-66,Female
NASAW00016057,12-10-66,Female
NASAW00016058,05-31-65,Female
NASAW00016059,04-09-44,Male
NASAW00016060,04-25-76,Male
NASAW00016061,07-02-81,Male
NASAW00016062,06-05-81,Female
NASAW00016063,07-12-81,Male
NASAW00016064,08-29-74,Female
NASAW00016065,01-18-75,Female
NASAW00016066,07-19-80,Male
NASAW00016067,04-16-80,Female
NASAW00016068,08-31-74,Male
NASAW00016069,03-04-75,Female
NASAW00016070,06-21-75,Female
NASAW00016071,07-09-76,Female
NASAW00016072,10-08-82,Male
NASAW00016073,06-10-77,Female
NASAW00016074,05-11-77,Male
NASAW00016075,01-22-77,Female
NASAW00016076,06-12-82,Female
NASAW00016077,05-28-82,Female
NASAW00016078,03-05-77,Female
NASAW00016079,03-06-77,Female
NASAW00016080,01-29-74,Male
NASAW00016081,09-18-73,Male
NASAW00016082,05-19-79,Female
NASAW00016083,12-30-72,Female
NASAW00016084,05-16-73,Female
NASAW00016085,07-10-75,Male
NASAW00016086,11-08-75,Male
NASAW00016087,12-11-75,Male
NASAW00016088,01-06-73,Male
NASAW00016089,01-30-73,Male
NASAW00016090,12-31-72,Female
NASAW00016091,10-19-83,Female
NASAW00016092,07-02-71,Female
NASAW00016093,08-30-71,Female
NASAW00016094,11-08-77,Female
NASAW00016095,08-11-71,Male
NASAW00016096,07-25-74,Male
NASAW00016097,05-05-75,Female
NASAW00016098,03-06-75,Female
NASAW00016099,08-05-80,Male
NASAW00016100,03-30-80,Male
NASAW00016101,03-19-75,Female
NASAW00016102,02-11-71,Male
NASAW00016103,04-06-82,Female
NASAW00016104,05-04-71,Female
NASAW00016105,08-04-70,Female
NASAW00016106,09-18-70,Male
NASAW00016107,10-14-80,Female
NASAW00016108,06-21-75,Male
NASAW00016109,01-02-70,Male
NASAW00016110,12-29-69,Male
NASAW00016111,02-02-80,Female
NASAW00016112,09-01-68,Male
NASAW00016113,08-09-79,Male
NASAW00016114,09-10-68,Male
NASAW00016115,12-11-73,Female
NASAW00016116,12-04-73,Male
NASAW00016117,05-01-68,Male
NASAW00016118,03-02-68,Male
NASAW00016119,03-12-67,Female
NASAW00016120,10-08-77,Male
NASAW00016121,11-01-66,Female
NASAW00016122,06-15-67,Male
NASAW00016123,01-05-67,Female
NASAW00016124,05-03-67,Male
NASAW00016125,09-03-66,Female
NASAW00016126,01-14-67,Female
NASAW00016127,03-10-83,Female
NASAW00016128,12-18-77,Female
NASAW00016129,04-10-66,Female
NASAW00016130,12-21-71,Female
NASAW00016131,11-11-65,Male
NASAW00016132,11-30-71,Female
NASAW00016133,08-09-78,Male
NASAW00016134,12-03-72,Male
NASAW00016135,12-28-72,Female
NASAW00016136,12-01-72,Male
NASAW00016137,09-11-72,Male
NASAW00016138,08-08-72,Male
NASAW00016139,08-22-71,Female
NASAW00016140,04-01-71,Male
NASAW00016141,05-01-66,Female
NASAW00016142,07-10-64,Female
NASAW00016143,09-15-64,Female
NASAW00016144,11-30-70,Male
NASAW00016145,04-23-65,Female
NASAW00016146,08-20-64,Female
NASAW00016147,05-23-64,Male
NASAW00016148,09-23-63,Female
NASAW00016149,08-29-63,Male
NASAW00016150,08-09-74,Female
NASAW00016151,12-30-68,Female
NASAW00016152,11-12-69,Female
NASAW00016153,10-09-63,Male
NASAW00016154,06-04-64,Female
NASAW00016155,10-08-74,Female
NASAW00016156,03-11-75,Male
NASAW00016157,10-21-85,Female
NASAW00016158,01-18-75,Female
NASAW00016159,06-17-80,Female
NASAW00016160,12-18-73,Female
NASAW00016161,02-21-74,Female
NASAW00016162,03-26-74,Female
NASAW00016163,06-13-73,Male
NASAW00016164,01-29-78,Female
NASAW00016165,01-30-78,Female
NASAW00016166,02-03-84,Female
NASAW00016167,01-02-78,Male
NASAW00016168,03-07-73,Female
NASAW00016169,03-13-78,Male
NASAW00016170,03-07-72,Male
NASAW00016171,10-04-71,Male
NASAW00016172,04-06-83,Female
NASAW00016173,07-02-81,Male
NASAW00016174,09-21-70,Female
NASAW00016175,09-01-76,Male
NASAW00016176,02-16-74,Female
NASAW00016177,09-07-79,Female
NASAW00016178,05-16-74,Male
NASAW00016179,02-19-74,Female
NASAW00016180,08-18-76,Male
NASAW00016181,12-21-70,Female
NASAW00016182,10-19-69,Male
NASAW00016183,11-01-75,Female
NASAW00016184,12-04-69,Female
NASAW00016185,12-10-75,Male
NASAW00016186,01-22-80,Female
NASAW00016187,02-14-86,Male
NASAW00016188,10-03-85,Female
NASAW00016189,09-29-84,Female
NASAW00016190,07-07-84,Male
NASAW00016191,09-15-83,Female
NASAW00016192,12-02-83,Female
NASAW00016193,12-18-83,Male
NASAW00016194,03-16-79,Female
NASAW00016195,10-10-78,Female
NASAW00016196,04-20-79,Male
NASAW00016197,08-16-83,Female
NASAW00016198,04-12-78,Male
NASAW00016199,02-15-78,Male
NASAW00016200,10-15-76,Female
NASAW00016201,03-05-77,Male
NASAW00016202,10-18-76,Male
NASAW00016203,11-01-75,Male
NASAW00016204,04-09-82,Male
NASAW00016205,03-28-82,Female
NASAW00016206,11-15-76,Female
NASAW00016207,03-09-82,Male
NASAW00016208,01-17-77,Female
NASAW00016209,09-15-75,Female
NASAW00016210,09-09-79,Female
NASAW00016211,05-22-80,Male
NASAW00016212,07-03-35,Female
NASAW00016213,11-13-71,Female
NASAW00016214,01-30-77,Male
NASAW00016215,11-09-71,Male
NASAW00016216,03-23-83,Male
NASAW00016217,03-24-72,Female
NASAW00016218,09-30-64,Female
NASAW00016219,11-18-64,Male
NASAW00016220,01-03-59,Female
NASAW00016221,05-10-64,Male
NASAW00016222,06-17-59,Male
NASAW00016223,11-15-58,Male
NASAW00016224,01-17-59,Male
NASAW00016225,04-07-70,Male
NASAW00016226,11-20-58,Female
NASAW00016227,12-16-59,Male
NASAW00016228,12-23-66,Male
NASAW00016229,11-13-71,Male
NASAW00016230,10-31-60,Male
NASAW00016231,05-08-61,Female
NASAW00016232,04-04-61,Male
NASAW00016233,09-18-71,Female
NASAW00016234,11-04-61,Male
NASAW00016235,02-13-67,Male
NASAW00016236,12-13-67,Male
NASAW00016237,07-12-62,Female
NASAW00016238,06-01-63,Female
NASAW00016239,05-31-63,Male
NASAW00016240,08-11-74,Female
NASAW00016241,04-03-75,Female
NASAW00016242,08-24-63,Female
NASAW00016243,12-23-63,Female
